"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Psychotropic"	"group"
"68347"	"Zalasta 5mg tablets (Krka UK Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"38010"	"Abilify 15mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Orodispersible tablet"	"Oral"	"Aripiprazole"	"15mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"74620"	"Haloperidol 1mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd)"	"Oral Solution"	"Oral"	"Haloperidol"	"1mg/5ml"	"Antipsychotic Products/-"	"Haloperidol"	"Antipsychotics"
"45959"	"Depefex XL 75mg capsules (Chiesi Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"79336"	"Amisulpride 50mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Amisulpride"	"50mg"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
"39039"	"Sodium valproate 200mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"34436"	"Citalopram 10mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"10787"	"Parnate 10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Tranylcypromine"	"10mg"	"Monoamine-Oxidase Inhibitors (MAOI)"	"Tranylcypromine"	"Antidepressants"
"85140"	"Sertraline 100mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"6134"	"Dozic 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Haloperidol"	"1mg/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"82530"	"Tegretol Prolonged Release 400mg tablets (Dowelhurst Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"78616"	"Trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)"	"Prolonged-release suspension for injection"	"Intramuscular"	"Paliperidone"	"200mg/1ml"	"Antipsychotic Depot Injections"	"Paliperidone"	"Antipsychotics"
"58476"	"Citalopram 20mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"3107"	"Epilim Chrono 500 tablets (Sanofi)"	"Modified-release tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"63389"	"Zaluron XL 50mg tablets (Fontus Health Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"50mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"29879"	"Abilify 30mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Oral tablet"	"Oral"	"Aripiprazole"	"30mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"78250"	"Carbamazepine 400mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"87987"	"Lamotrigine 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lamotrigine"	"5mg/1ml"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"59288"	"Paroxetine 10mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Paroxetine"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Paroxetine"	"Antidepressants"
"22245"	"TRIFLUOPERAZINE 10mg/ml"	NA	NA	"Trifluoperazine"	NA	"Unknown"	"Trifluoperazine"	"Antipsychotics"
"12403"	"Camcolit 400 modified-release tablets (Essential Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Lithium"	"400mg"	"Products Used For Mania And Hypomania"	"Lithium"	"Mood Stabilisers"
"33410"	"Fluoxetine 20mg capsules (Zentiva Pharma UK Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"61650"	"Aripiprazole 400mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Aripiprazole"	"400mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"41597"	"Clomipramine 50mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Oral capsule"	"Oral"	"Clomipramine"	"50mg"	"Tricyclic And Related Antidepressants"	"Clomipramine"	"Antidepressants"
"76959"	"Promazine 6.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Promazine"	"1.25mg/1ml"	"First-Generation Antipsychotic Drugs"	"Promazine"	"Antipsychotics"
"13479"	"CHLORPROMAZINE 25 MG SUP"	"Suppository"	"Rectal"	"Chlorpromazine"	NA	"Unknown"	"Chlorpromazine"	"Antipsychotics"
"63363"	"Zaluron XL 400mg tablets (Fontus Health Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"400mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"91075"	"Levomepromazine 3mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Levomepromazine"	"600microgram/1ml"	"First-Generation Antipsychotic Drugs"	"Levomepromazine"	"Antipsychotics"
"3671"	"Haloperidol 500microgram tablets"	"Oral tablet"	"Oral"	"Haloperidol"	"500microgram"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"51501"	"Lamictal 25mg tablets (Lexon (UK) Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"25mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"35112"	"Seroxat 10mg tablets (GlaxoSmithKline UK Ltd)"	"Oral tablet"	"Oral"	"Paroxetine"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Paroxetine"	"Antidepressants"
"4682"	"Amitriptyline 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"50mg"	"Unknown"	"Amitriptyline"	"Antidepressants"
"3021"	"Thioridazine 100mg tablets"	"Oral tablet"	"Oral"	"Thioridazine"	"100mg"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"3861"	"Cipramil 10mg tablets (Lundbeck Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"89177"	"Lamotrigine 50mg tablets (Dowelhurst Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"77215"	"Quetiapine 300mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Quetiapine"	"300mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"88853"	"Duloxetine 30mg gastro-resistant capsules (Somex Pharma)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"34151"	"Valproate sodium 500mg Gastro-resistant tablet (IVAX Pharmaceuticals UK Ltd)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"74785"	"Cipralex 10mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Escitalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Escitalopram"	"Antidepressants"
"8519"	"Chlorpromazine 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Chlorpromazine"	"20mg/1ml"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"74298"	"Xeplion 150mg/1.5ml and 100mg/1ml suspension for injection treatment initiation pack (Janssen-Cilag Ltd)"	"Not applicable"	"Route of administration not applicable"	"Paliperidone"	NA	"Antipsychotic Depot Injections"	"Paliperidone"	"Antipsychotics"
"57972"	"Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"89318"	"Risperidone 3mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"3mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"82206"	"Mirtazapine 15mg tablets (Noumed Life Sciences Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"89114"	"Sertraline 100mg/5ml concentrate for oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Concentrate for oral solution"	"Oral"	"Sertraline"	"20mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"84842"	"Moclobemide 150mg tablets (Sandoz Ltd)"	"Oral tablet"	"Oral"	"Moclobemide"	"150mg"	"Reversible Monoamine-Oxidase Inhibitors"	"Moclobemide"	"Antidepressants"
"65137"	"Risperidone 500microgram tablets (Dexcel-Pharma Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"63276"	"Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Nortriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Nortriptyline"	"Antidepressants"
"68933"	"Mirtazapine 30mg tablets (PLIVA Pharma Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"30mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"62115"	"Prochlorperazine 5mg tablets (Genesis Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Prochlorperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"34274"	"Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"50mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"72373"	"Citalopram 20mg tablets (Sun Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"60942"	"Haloperidol 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Haloperidol"	"1mg/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"34182"	"Amitriptyline 50mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"50mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"65738"	"Efexor 37.5mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Venlafaxine"	"37.5mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"83516"	"Amitriptyline 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amitriptyline"	"5mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"89966"	"Amitriptyline 50mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)"	"Oral solution"	"Oral"	"Amitriptyline"	"10mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"17634"	"Promazine 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Promazine"	"10mg/1ml"	"First-Generation Antipsychotic Drugs"	"Promazine"	"Antipsychotics"
"15082"	"Tegretol 250mg suppositories (Essential Pharma Ltd)"	"Suppository"	"Rectal"	"Carbamazepine"	"250mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"81914"	"Mirtazapine 15mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Oral solution"	"Oral"	"Mirtazapine"	"15mg/1ml"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"83552"	"Pericyazine oral liquid"	"Oral solution"	"Oral"	"Pericyazine"	NA	"Antipsychotic Products"	"Pericyazine"	"Antipsychotics"
"89609"	"Amisulpride 50mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Amisulpride"	"50mg"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
"34866"	"Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd)"	"Oral capsule"	"Oral"	"Clomipramine"	"10mg"	"Tricyclic And Related Antidepressants"	"Clomipramine"	"Antidepressants"
"52074"	"Alventa XL 75mg capsules (Krka UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"45350"	"Clomipramine 25mg capsules (Teva UK Ltd)"	"Oral capsule"	"Oral"	"Clomipramine"	"25mg"	"Tricyclic And Related Antidepressants"	"Clomipramine"	"Antidepressants"
"43250"	"Mirtazapine 30mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"56265"	"Olanzapine 20mg oral lyophilisates sugar free"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"20mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"1222"	"Venlafaxine 75mg tablets"	"Oral tablet"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"67496"	"Fluoxetine 30mg capsules"	"Oral capsule"	"Oral"	"Fluoxetine"	"30mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"47817"	"Lamotrigine 50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"47280"	"Asenapine 5mg sublingual tablets sugar free"	"Sublingual tablet"	"Sublingual"	"Asenapine"	"5mg"	"Products Used For Mania And Hypomania"	"Asenapine"	"Antipsychotics"
"83070"	"Biquelle XL 600mg tablets (Aspire Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"600mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"60181"	"Carbagen 100mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Carbamazepine"	"100mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"75068"	"Fluoxetine 40mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"40mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"16103"	"Olanzapine 20mg Orodispersible tablet"	"Orodispersible Tablet"	"Oral"	"Olanzapine"	"20mg"	"Antipsychotic Products"	"Olanzapine"	"Antipsychotics"
"47963"	"Lamotrigine 25mg tablets (Fannin (UK) Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"25mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"77733"	"Brancico XL 50mg tablets (Zentiva Pharma UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"50mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"71669"	"Duloxetine 20mg gastro-resistant capsules (Zentiva Pharma UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"20mg"	"Urinary Incontinence"	"Duloxetine"	"Antidepressants"
"61624"	"Lamotrigine 100mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"100mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"46764"	"Quetiapine 12.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Quetiapine"	"2.5mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"45572"	"Lamotrigine 50mg Suppository"	"Suppository"	"Rectal"	"Lamotrigine"	"50mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"21125"	"Droleptan 5mg/ml Injection (Janssen-Cilag Ltd)"	"Injection"	"Intravenous Injection"	"Droperidol"	"5mg/ml"	"Antipsychotic Products/Benzodiazepines (Peri-Operative)"	"Droperidol"	"Antipsychotics"
"87944"	"Sertraline 50mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"56501"	"Tofranil 25mg tablets (Lexon (UK) Ltd)"	"Oral tablet"	"Oral"	"Imipramine"	"25mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Imipramine"	"Antidepressants"
"9190"	"Chlorpromazine 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Chlorpromazine"	"5mg/1ml"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"77187"	"Lamotrigine 50mg tablets (Consilient Health Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"80669"	"Brancico XL 400mg tablets (Zentiva Pharma UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"400mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"67765"	"Thioridazine 25mg/5ml oral solution (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Thioridazine"	"5mg/1ml"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"61592"	"Prochlorperazine 5mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Prochlorperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"30509"	"Timonil retard 400mg Modified-release tablet (C P Pharmaceuticals Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"14803"	"Yentreve 40mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"40mg"	"Urinary Incontinence"	"Duloxetine"	"Antidepressants"
"69317"	"Nortriptyline 50mg tablets"	"Oral tablet"	"Oral"	"Nortriptyline"	"50mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Nortriptyline"	"Antidepressants"
"33978"	"Paroxetine 20mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Paroxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Paroxetine"	"Antidepressants"
"9515"	"Zoleptil 50 tablets (Movianto UK Ltd)"	"Oral tablet"	"Oral"	"Zotepine"	"50mg"	"Antipsychotic Products"	"Zotepine"	"Antipsychotics"
"4495"	"Epilim 200mg/5ml syrup (Sanofi)"	"Oral solution"	"Oral"	"Valproate"	"40mg/1ml"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"74753"	"Citalopram 30mg tablets"	"Tablet"	"Oral"	"Citalopram"	NA	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"81209"	"Risperidone 500microgram tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"67928"	"Sertraline 100mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"5545"	"Serenace 500microgram capsules (Teva UK Ltd)"	"Oral capsule"	"Oral"	"Haloperidol"	"500microgram"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"12192"	"Norval 30mg Tablet (Bencard)"	"Oral tablet"	"Oral"	"Mianserin"	"30mg"	"Tricyclic And Related Antidepressants"	"Mianserin"	"Antidepressants"
"4554"	"Nefazodone 100mg tablets"	"Oral tablet"	"Oral"	"Nefazodone"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Nefazodone"	"Antidepressants"
"54933"	"Sertraline 100mg tablets (PLIVA Pharma Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"38890"	"Fluoxetine 20mg Capsule (Milpharm Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"59829"	"Risperidone 3mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"3mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"66375"	"Carbamazepine 400mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"47394"	"Olanzapine 15mg oral lyophilisates sugar free"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"15mg"	"Unknown"	"Olanzapine"	"Antipsychotics"
"80721"	"Majoven XL 37.5mg capsules (Bristol Laboratories Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"37.5mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"66579"	"Amitriptyline 25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"81646"	"Lamotrigine 25mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"25mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"68052"	"Mirtazapine 30mg orodispersible tablets (Almus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"59600"	"Sertraline 100mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"58935"	"Tenprolide XL 400mg tablets (Actavis UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"400mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"77216"	"Quetiapine 150mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Quetiapine"	"150mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"596"	"Carbamazepine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Carbamazepine"	"20mg/1ml"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"86746"	"Haloperidol 5mg tablets (Medihealth (Northern) Ltd)"	"Oral tablet"	"Oral"	"Haloperidol"	"5mg"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"79628"	"Duloxetine 30mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30mg"	"Other Antidepressants/Treatment Of Diabetic Nephropathy And Neuropathy"	"Duloxetine"	"Antidepressants"
"34672"	"Lofepramine 70mg tablets (Sterwin Medicines)"	"Oral tablet"	"Oral"	"Lofepramine"	"70mg"	"Tricyclic And Related Antidepressants"	"Lofepramine"	"Antidepressants"
"41528"	"Citalopram 10mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"33090"	"Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"79252"	"Mirtazapine 45mg orodispersible tablets (Alliance Healthcare (Distribution) Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"89884"	"Prochlorperazine 5mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Prochlorperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"7493"	"Largactil 100mg Tablet (Hawgreen Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"100mg"	"Antipsychotic Products/-"	"Chlorpromazine"	"Antipsychotics"
"55644"	"Lamotrigine 25mg tablets (Bristol Laboratories Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"25mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"65449"	"Promazine 25mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Promazine"	"25mg"	"First-Generation Antipsychotic Drugs"	"Promazine"	"Antipsychotics"
"8046"	"Clozapine 25mg tablets"	"Oral tablet"	"Oral"	"Clozapine"	"25mg"	"Second-Generation Antipsychotic Drugs"	"Clozapine"	"Antipsychotics"
"36954"	"Invega 6mg modified-release tablets (Janssen-Cilag Ltd)"	"Modified-release tablet"	"Oral"	"Paliperidone"	"6mg"	"Second-Generation Antipsychotic Drugs"	"Paliperidone"	"Antipsychotics"
"17429"	"Carbamazepine 125mg suppositories"	"Suppository"	"Rectal"	"Carbamazepine"	"125mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
