"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"AD"
"Mirtazapine 15mg orodispersible tablets sugar free (Sandoz Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"54012"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Medreich Plc)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"54342"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Pfizer Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"54644"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"54792"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Mylan)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"55482"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (Phoenix Healthcare Distribution Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"56209"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Pfizer Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"58291"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"45mg"	"58625"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets (Phoenix Healthcare Distribution Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"59694"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"59953"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"45mg"	"59954"	"0403040X0"	"mirtazapine"
"Zispin SolTab 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"60370"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"60538"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg/ml oral solution sugar free (DE Pharmaceuticals)"	"Oral solution"	"Oral"	"Mirtazapine"	"15mg/1ml"	"61547"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Consilient Health Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"61856"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"63403"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Accord Healthcare Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"64101"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg orodispersible tablets (Mylan)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45mg"	"64139"	"0403040X0"	"mirtazapine"
"Mirtazapine 45mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"45mg"	"64223"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Sigma Pharmaceuticals Plc)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"65555"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"66183"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Bluefish Pharmaceuticals AB)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"66580"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Aurobindo Pharma Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"66752"	"0403040X0"	"mirtazapine"
"Zispin 30mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"67272"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets (Almus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"68052"	"0403040X0"	"mirtazapine"
"Mirtazapine 2mg capsules"	"Capsule"	"Oral"	"Mirtazapine"	"2mg"	"68544"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"68680"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (PLIVA Pharma Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"68933"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"69005"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg orodispersible tablets (Aurobindo Pharma Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"69420"	"0403040X0"	"mirtazapine"
"Mirtazapine 30mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Mirtazapine"	"30mg"	"71543"	"0403040X0"	"mirtazapine"
"Mirtazapine 15mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"74557"	"0403040X0"	"mirtazapine"
"Moclobemide 150mg tablets"	"Tablet"	"Oral"	"Moclobemide"	"150mg"	"2883"	"0403020K0"	"moclobemide"
"Moclobemide 300mg tablets"	"Tablet"	"Oral"	"Moclobemide"	"300mg"	"5187"	"0403020K0"	"moclobemide"
"Manerix 300mg tablets (Meda Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Moclobemide"	"300mg"	"5832"	"0403020K0"	"moclobemide"
"Manerix 150mg tablets (Meda Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Moclobemide"	"150mg"	"9206"	"0403020K0"	"moclobemide"
"Moclobemide 150mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Moclobemide"	"150mg"	"41747"	"0403020K0"	"moclobemide"
"Moclobemide 150mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Moclobemide"	"150mg"	"67305"	"0403020K0"	"moclobemide"
"Dutonin 100mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"100mg"	"3391"	"0403040T0"	"nefazodone"
"Nefazodone 200mg tablets"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"200mg"	"4011"	"0403040T0"	"nefazodone"
"Dutonin 200mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"200mg"	"4297"	"0403040T0"	"nefazodone"
"Nefazodone 100mg tablets"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"100mg"	"4554"	"0403040T0"	"nefazodone"
"Nefazodone Starter pack"	"Starter Pack"	"Oral"	"Nefazodone Hydrochloride"	""	"9534"	"0403040T0"	"nefazodone"
"Dutonin 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"50mg"	"63827"	"0403040T0"	"nefazodone"
"Nefazodone 50mg tablets"	"Tablet"	"Oral"	"Nefazodone hydrochloride"	"50mg"	"67757"	"0403040T0"	"nefazodone"
"Nortriptyline 10mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"10mg"	"3183"	"0403010V0"	"nortriptyline"
"Nortriptyline 25mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25mg"	"3903"	"0403010V0"	"nortriptyline"
"Nortriptyline 10mg Capsule"	"Capsule"	"Oral"	"Nortriptyline Hydrochloride"	"10mg"	"4118"	"0403010V0"	"nortriptyline"
"Allegron 10mg tablets (King Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"10mg"	"7677"	"0403010V0"	"nortriptyline"
"Nortriptyline 25mg Capsule"	"Capsule"	"Oral"	"Nortriptyline Hydrochloride"	"25mg"	"7678"	"0403010V0"	"nortriptyline"
"Allegron 25mg tablets (King Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25mg"	"8640"	"0403010V0"	"nortriptyline"
"Aventyl 25mg Capsule (Eli Lilly and Company Ltd)"	"Capsule"	"Oral"	"Nortriptyline Hydrochloride"	"25mg"	"12353"	"0403010V0"	"nortriptyline"
"Aventyl 10mg/5ml Liquid (Eli Lilly and Company Ltd)"	"Liquid"	"Oral"	"Nortriptyline Hydrochloride"	"10mg/5ml"	"12549"	"0403010V0"	"nortriptyline"
"Aventyl 10mg Capsule (Eli Lilly and Company Ltd)"	"Capsule"	"Oral"	"Nortriptyline Hydrochloride"	"10mg"	"17183"	"0403010V0"	"nortriptyline"
"Nortriptyline 10mg/5ml Liquid"	"Liquid"	"Oral"	"Nortriptyline Hydrochloride"	"10mg/5ml"	"39145"	"0403010V0"	"nortriptyline"
"Nortriptyline 25mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25mg"	"48216"	"0403010V0"	"nortriptyline"
"Nortriptyline 10mg tablets (King Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"10mg"	"55970"	"0403010V0"	"nortriptyline"
"Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25mg"	"63276"	"0403010V0"	"nortriptyline"
"Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"10mg"	"65237"	"0403010V0"	"nortriptyline"
"Nortriptyline 25mg tablets (Sigma Pharmaceuticals Plc)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"25mg"	"66201"	"0403010V0"	"nortriptyline"
"Nortriptyline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nortriptyline hydrochloride"	"2mg/1ml"	"68228"	"0403010V0"	"nortriptyline"
"Nortriptyline 50mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"50mg"	"69317"	"0403010V0"	"nortriptyline"
"Nortriptyline 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Nortriptyline hydrochloride"	"2mg/1ml"	"72626"	"0403010V0"	"nortriptyline"
"Motipress tablets (Sanofi-Synthelabo Ltd)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride/Fluphenazine hydrochloride"	"30mg + 1.5mg"	"8493"	""	"nortriptyline_fluphenazine"
"Nortriptyline 30mg / Fluphenazine 1.5mg tablets"	"Tablet"	"Oral"	"Nortriptyline hydrochloride/Fluphenazine hydrochloride"	"30mg + 1.5mg"	"14578"	""	"nortriptyline_fluphenazine"
"Fluphenazine with nortriptyline 500microgramswith10mg Tablet"	"Tablet"	"Oral"	"Nortriptyline Hydrochloride/Fluphenazine Hydrochloride"	"500mcg + 10mg"	"20571"	""	"nortriptyline_fluphenazine"
"Lamberts 5-HTP 100mg tablets (Lamberts Healthcare Ltd)"	"Tablet"	"Oral"	"Oxitriptan"	"100mg"	"62427"	"0403040R0"	"oxitriptan"
"Paroxetine 20mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"50"	"0403030P0"	"paroxetine"
"Paroxetine 10mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Paroxetine hydrochloride"	"2mg/1ml"	"527"	"0403030P0"	"paroxetine"
"Seroxat 20mg tablets (GlaxoSmithKline UK Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"841"	"0403030P0"	"paroxetine"
"Paroxetine 30mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"1397"	"0403030P0"	"paroxetine"
"Seroxat 30mg tablets (GlaxoSmithKline UK Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"1575"	"0403030P0"	"paroxetine"
"Seroxat 20mg/10ml liquid (GlaxoSmithKline UK Ltd)"	"Oral suspension"	"Oral"	"Paroxetine hydrochloride"	"2mg/1ml"	"3601"	"0403030P0"	"paroxetine"
"Paroxetine 20mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"32899"	"0403030P0"	"paroxetine"
"Paroxetine 20mg tablets (Mylan)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"33978"	"0403030P0"	"paroxetine"
"Paroxetine 20mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"34351"	"0403030P0"	"paroxetine"
"Paroxetine 20mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"34419"	"0403030P0"	"paroxetine"
"Paroxetine 30mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"34587"	"0403030P0"	"paroxetine"
"Paroxetine 10mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10mg"	"35021"	"0403030P0"	"paroxetine"
"Seroxat 10mg tablets (GlaxoSmithKline UK Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10mg"	"35112"	"0403030P0"	"paroxetine"
"Paroxetine 30mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"40165"	"0403030P0"	"paroxetine"
"Paroxetine 20mg tablets (Genus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"40892"	"0403030P0"	"paroxetine"
"Paroxetine 20mg tablets (Medreich Plc)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"55023"	"0403030P0"	"paroxetine"
"Seroxat 30mg tablets (Lexon (UK) Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"55537"	"0403030P0"	"paroxetine"
"Paroxetine 10mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10mg"	"59288"	"0403030P0"	"paroxetine"
"Paroxetine 30mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30mg"	"64785"	"0403030P0"	"paroxetine"
"Seroxat 10mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10mg"	"66292"	"0403030P0"	"paroxetine"
"Paroxetine 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Paroxetine hydrochloride"	"2mg/1ml"	"67259"	"0403030P0"	"paroxetine"
"Paroxetine 40mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"40mg"	"68325"	"0403030P0"	"paroxetine"
"Seroxat 20mg tablets (Lexon (UK) Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"73589"	"0403030P0"	"paroxetine"
"Paroxetine 20mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"73668"	"0403030P0"	"paroxetine"
"Seroxat 20mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"74588"	"0403030P0"	"paroxetine"
"Paroxetine oral liquid"	""	""	"Paroxetine Hydrochloride"	""	"75054"	"0403030P0"	"paroxetine"
"Nardil 15mg tablets (Kyowa Kirin Ltd)"	"Tablet"	"Oral"	"Phenelzine sulfate"	"15mg"	"3349"	"0403020M0"	"phenelzine"
"Phenelzine 15mg tablets"	"Tablet"	"Oral"	"Phenelzine sulfate"	"15mg"	"4321"	"0403020M0"	"phenelzine"
"Reboxetine 4mg tablets"	"Tablet"	"Oral"	"Reboxetine mesilate"	"4mg"	"2356"	"0403040U0"	"reboxetinemesilate"
"Edronax 4mg tablets (Pfizer Ltd)"	"Tablet"	"Oral"	"Reboxetine mesilate"	"4mg"	"15163"	"0403040U0"	"reboxetinemesilate"
"Sertraline 200mg/5ml oral suspension (Special Order)"	"Oral Suspension"	"Oral"	"Sertraline"	""	"65771"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"488"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"727"	"0403030Q0"	"sertraline"
"Lustral 50mg tablets (Pfizer Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"1612"	"0403030Q0"	"sertraline"
"Lustral 100mg tablets (Pfizer Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"4352"	"0403030Q0"	"sertraline"
"Sertraline 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"10mg/1ml"	"7328"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"32401"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"42387"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"44944"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"45915"	"0403030Q0"	"sertraline"
"Sertraline 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"20mg/1ml"	"49519"	"0403030Q0"	"sertraline"
"Sertraline 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"5mg/1ml"	"54081"	"0403030Q0"	"sertraline"
"Sertraline 150mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"30mg/1ml"	"54826"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (PLIVA Pharma Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"54933"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"55146"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"55488"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Mylan)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"58664"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"58723"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"59600"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"61503"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Bristol Laboratories Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"62692"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Bristol Laboratories Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"62693"	"0403030Q0"	"sertraline"
"Sertraline 12.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"2.5mg/1ml"	"62819"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Wockhardt UK Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"62927"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"62950"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Milpharm Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"63481"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Ranbaxy (UK) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"66413"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Mylan)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"66560"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Ranbaxy (UK) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"67730"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Milpharm Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"67928"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"68756"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Crescent Pharma Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"69725"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Crescent Pharma Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"69726"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"69898"	"0403030Q0"	"sertraline"
"Sertraline 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"4mg/1ml"	"73759"	"0403030Q0"	"sertraline"
"Sertraline 100mg tablets (Wockhardt UK Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"73962"	"0403030Q0"	"sertraline"
"Sertraline 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Sertraline hydrochloride"	"10mg/1ml"	"75405"	"0403030Q0"	"sertraline"
"Sertraline 50mg tablets (Tillomed Laboratories Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"75952"	"0403030Q0"	"sertraline"
"Tranylcypromine 10mg tablets"	"Tablet"	"Oral"	"Tranylcypromine sulfate"	"10mg"	"3783"	"0403020Q0"	"tranylcypromine"
"Parnate 10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Tranylcypromine sulfate"	"10mg"	"10787"	"0403020Q0"	"tranylcypromine"
"Tranylcypromine 10mg tablets (AMCo)"	"Tablet"	"Oral"	"Tranylcypromine sulfate"	"10mg"	"41654"	"0403020Q0"	"tranylcypromine"
"Trazodone 100mg capsules"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100mg"	"1730"	"0403010X0"	"trazodone"
"Trazodone 50mg capsules"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50mg"	"3355"	"0403010X0"	"trazodone"
"Molipaxin 150mg tablets (Zentiva)"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"4003"	"0403010X0"	"trazodone"
"Trazodone 150mg tablets"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"4020"	"0403010X0"	"trazodone"
"Molipaxin 100mg capsules (Zentiva)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100mg"	"4194"	"0403010X0"	"trazodone"
"Molipaxin 50mg capsules (Zentiva)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50mg"	"4874"	"0403010X0"	"trazodone"
"Trazodone 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"10mg/1ml"	"6442"	"0403010X0"	"trazodone"
"Molipaxin 50mg/5ml oral liquid (Sanofi)"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"10mg/1ml"	"8174"	"0403010X0"	"trazodone"
"Trazodone 150mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"12710"	"0403010X0"	"trazodone"
"Molipaxin CR 150mg tablets (Aventis Pharma)"	"Modified-release tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"13621"	"0403010X0"	"trazodone"
"Trazodone 100mg capsules (Mylan)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100mg"	"19181"	"0403010X0"	"trazodone"
"Trazodone 50mg capsules (Mylan)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50mg"	"29339"	"0403010X0"	"trazodone"
"Trazodone 150mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"29857"	"0403010X0"	"trazodone"
"Trazodone 150mg tablets (Mylan)"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"30983"	"0403010X0"	"trazodone"
"Trazodone 50mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50mg"	"34003"	"0403010X0"	"trazodone"
"Trazodone 50mg capsules (Zentiva)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50mg"	"34421"	"0403010X0"	"trazodone"
"Trazodone 150mg tablets (Zentiva)"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150mg"	"34470"	"0403010X0"	"trazodone"
"Trazodone 100mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100mg"	"34580"	"0403010X0"	"trazodone"
"Trazodone 50mg capsules (Teva UK Ltd)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50mg"	"41609"	"0403010X0"	"trazodone"
"Trazodone 100mg capsules (Teva UK Ltd)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100mg"	"41709"	"0403010X0"	"trazodone"
"Trazodone 100mg capsules (Zentiva)"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100mg"	"41710"	"0403010X0"	"trazodone"
"Trazodone 150mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Trazodone hydrochloride"	"30mg/1ml"	"55137"	"0403010X0"	"trazodone"
"Trazodone 250mg/5ml oral solution"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"50mg/1ml"	"55138"	"0403010X0"	"trazodone"
"Trazodone 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Trazodone hydrochloride"	"5mg/1ml"	"57226"	"0403010X0"	"trazodone"
"Trazodone 50mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"10mg/1ml"	"59931"	"0403010X0"	"trazodone"
"Trazodone 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"15mg/1ml"	"61657"	"0403010X0"	"trazodone"
"Trazodone 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"10mg/1ml"	"61842"	"0403010X0"	"trazodone"
"Trazodone 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"20mg/1ml"	"65152"	"0403010X0"	"trazodone"
"Trazodone 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"2mg/1ml"	"66749"	"0403010X0"	"trazodone"
"Trazodone Oral solution"	"Oral Solution"	""	"Trazodone Hydrochloride"	""	"69355"	"0403010X0"	"trazodone"
