"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Mood Stabiliser"
"54445"	0	"Carbamazepine 400mg tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"38508"	6064	"Epilim Chronosphere MR 250mg granules sachets (Sanofi)"	"Valproate"	"250mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"2388"	325260	"Carbamazepine 200mg modified-release tablets"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"59241"	54	"Lamotrigine 100mg dispersible tablets sugar free (Teva UK Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"68292"	1	"Lithium carbonate 400mg modified-release tablets (AM Distributions (Yorkshire) Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"6711"	133361	"Sodium valproate 300mg modified-release tablets"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"584"	880810	"Sodium valproate 200mg gastro-resistant tablets"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"74810"	538	"Epilim 500 gastro-resistant tablets (Waymade Healthcare Plc)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"43178"	27	"Sodium valproate with valproic acid 1000mg modified release granules"	"Valproate/Valproic"	"1000mg"	"Modified Release Granules"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"62637"	128	"Sodium valproate 200mg gastro-resistant tablets (Actavis UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
