"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Insulin"
"15961"	299	"Insulin isophane human crb 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"65611"	180	"JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Red (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"7959"	1	"INSULIN MIXTARD 30/70 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"9521"	16507	"Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Short-Acting Insulins"	"Insulin"
"57622"	58	"Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"49831"	767	"Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Necessity Supplies Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"56939"	610	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Pink (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"27614"	4464	"Penmix 30/70 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"13274"	419	"Clinipak u100 single use ins syr+12mm need28g 1ml [rand] 1ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd)"	"Insulin"	"1ml"	"Insulin Syringe With 28Gauge Needle 12Mm"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"63562"	810	"Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml + 3.6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Insulin"
"69823"	58127	"Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"27402"	349	"Insulin soluble human 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"48435"	3111	"BD AutoShield hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"21347"	858	"Penmix 40/60 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"56502"	2384	"Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"19491"	7226	"Apidra 100units/ml solution for injection 10ml vials (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"43489"	473364	"BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"4mm/32 gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"9079"	1238	"INSULIN SOLUBLE 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"80215"	32	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"58579"	821	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32.5gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"83236"	61	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Nipro Diagnostics (UK) Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"9565"	4258	"HumaJect S Pen 100units/ml solution for injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Unknown"	"Insulin"
"10245"	3531	"Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"10unit/1ml + 90unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"64495"	46177	"TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"14299"	689	"Insulin glulisine 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"3396"	1157	"Penmix 10/90 Penfill (Novo Nordisk Ltd)"	"Insulin"	NA	"Penfill"	NA	"Intermediate- And Long-Acting Insulins"	"Insulin"
"20196"	4	"INSULIN SOLUBLE 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"31467"	111	"Exubera 3mg inhalation powder blisters (Pfizer Ltd)"	"Insulin"	"3mg"	"Inhalation powder"	"Inhalation"	"Unknown"	"Insulin"
"19513"	50254	"Humulin M3 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"47360"	15	"Neutral insulin 100unit/ml Injection (Celltech Pharma Europe Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Subcutaneous Injection"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"26795"	1	"SYRINGE INSULIN DISPOSABLE"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"21235"	15104	"Humulin S 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"39006"	154777	"Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"84216"	5	"PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (Prosum Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"2455"	12673	"Mixtard 20 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"51612"	83	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"19271"	5819	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge"	"Insulin"	"8mm/30gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"25786"	18729	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd)"	"Insulin"	"6mm/31gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"43950"	252394	"Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"16959"	383	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.3mm/30gauge"	"Insulin"	"1ml"	"Insulin Syringe With 12Mm Needle(30G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"2808"	1222	"INSULIN LENTARD INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"18224"	65826	"Humalog 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"30861"	28	"INSULIN ZINC HUMAN SUSPENSION"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"24485"	5	"INSULIN ZINC ANIMAL SUSPENSION"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"83212"	55	"GlucoRx Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"45045"	22930	"NovoTwist hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (Novo Nordisk Ltd)"	"Insulin"	"5mm/32 gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"28588"	1308	"Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"6554"	7852	"Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin"	"3ml/1-21 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"71428"	3	"Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"43568"	2046	"ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi)"	"Insulin"	"3ml/1-80 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"89061"	856	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Novo Nordisk Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"35454"	11137	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (GlucoRx Ltd)"	"Insulin"	"8mm/31gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"48633"	31282	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"13622"	10599	"Hypurin porcine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"5953"	141231	"Insulin glargine 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"7267"	365737	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"10277"	238233	"Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"55687"	9133	"Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"43833"	5167	"ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi)"	"Insulin"	"3ml/1-80 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"8483"	722	"MONOJECT INSULIN NEEDLES"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"10207"	1216	"Insulin isophane human 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"14928"	51061	"Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"29953"	1832	"Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"14887"	13346	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge"	"Insulin"	"5mm/31gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"86376"	1730	"NovoPen Echo Plus hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Red (Novo Nordisk Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"52232"	40	"Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"30236"	958	"Isophane insulin 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"49479"	5746	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"76988"	32	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"14330"	18308	"Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"74888"	165	"GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"75651"	4555	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Nipro Diagnostics (UK) Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"72187"	8555	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"11521"	1126	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.4mm/27gauge"	"Insulin"	"1ml"	"Insulin Syringe With 12Mm Needle(27G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"5967"	14346	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge"	"Insulin"	"0.5ml"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"74970"	5	"Pur-n Isophane 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"34713"	4187	"Insulin 1 ml syringe"	"Insulin"	NA	"Syringe"	NA	"-"	"Insulin"
"14642"	4465	"Bd m 0.3ml Insulin syringe with 29gauge needle 12mm (Becton, Dickinson UK Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe With 29Gauge Needle 12Mm"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"40555"	584	"HumaPen Memoir hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units (Eli Lilly and Company Ltd)"	"Insulin"	"3ml/1-60 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"36066"	8	"Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"8203"	3536	"Penmix 50/50 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"58745"	184997	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"21583"	2229	"Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"57564"	83	"Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"70910"	55906	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"31205"	472	"Insuman Comb 50 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"70422"	139	"AllStar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Purple (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"22697"	880	"Insulin isophane biphasic human 50/50 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"1844"	64070	"Ultratard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"10566"	650	"INSULIN HUMULIN M CARTRIDGE 100 I/U"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"44251"	1	"Insulin zinc suspension mixed porcine 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"13550"	168	"INSULIN BP 100 I/U"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"90264"	10	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"5121"	83913	"BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"12.7mm/29gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"23993"	631	"Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"77777"	201	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (Nipro Diagnostics (UK) Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"6233"	5902	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge (Ypsomed Ltd)"	"Insulin"	"10mm/29gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector-Snap On"	"Insulin"
"76728"	866	"Semglee 100units/ml solution for injection 3ml pre-filled pens (Biosimilar Collaborations Ireland Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"69658"	3824	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Hypodermic Needle Sterile Single-Use"	"Insulin"
"28101"	711	"Insulin glulisine 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"27396"	138	"Insulin soluble porcine 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"4199"	12434	"Humulin m1 100unit/ml M1 injection (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/ml"	"M1 Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"8646"	107	"INSULIN ZINC CRYSTALLINE susp 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"9376"	313	"Insulin zinc suspension crystalline human pyr 100unit/ml long acting Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"1591"	151162	"U100 Insulin syringe 1ml"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"13036"	386	"Unifine hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.33mm/29gauge (Owen Mumford Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"80678"	1	"Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (CST Pharma Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"66454"	251077	"BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"53710"	88	"Insulin human 500units/ml solution for injection 20ml vials"	"Insulin"	"500unit/1ml"	"Solution for injection"	"Subcutaneous"	"Insulins"	"Insulin"
"21459"	3	"SYRINGE INSULIN U100 S/U+8MM NEEDLE"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"27151"	2	"SYRINGE INSULIN U100 S/U+8MM NEEDLE"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"50798"	39	"Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"16866"	164	"Unifine hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge (Owen Mumford Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"26060"	2101	"Insulin lispro 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"2321"	22596	"Insulin 0.5ml disposable syringe"	"Insulin"	"0.5ml"	"Syringe"	NA	"-"	"Insulin"
"9834"	4741	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 12mm/29gauge (Ypsomed Ltd)"	"Insulin"	"12mm/29gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector-Snap On"	"Insulin"
"18208"	33	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 10mm/29gauge"	"Insulin"	"10mm/29gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector-Snap On"	"Insulin"
"8354"	448	"INSULIN ISOPHANE 70%/NEUTRAL 30% 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"76922"	619	"Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"15unit/1ml + 85unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"76223"	10	"HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (HTL-STREFA S.A.)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"87687"	1	"InSu/Light hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 13mm needle 0.33mm/29gauge (Medicure Scientific Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"39150"	522	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.33mm/29gauge"	"Insulin"	"1ml"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"72862"	35	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"5250"	3223	"Insulin biphasic lispro human prb 25:75; 100 units/ml Injection"	"Insulin"	"25:75; 100 units/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
