"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Gen"	"AP"
"74810"	10854611000001104	"04810020"	"Epilim 500 gastro-resistant tablets (Waymade Healthcare Plc)"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"74834"	19607011000001104	"78199020"	"Olanzapine 10mg orodispersible tablets sugar free (Actavis UK Ltd)"	"Olanzapine"	"10mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"74848"	10415611000001104	"04809020"	"Sodium valproate 500mg gastro-resistant tablets (Arrow Generics Ltd)"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"74855"	19624211000001108	"78326020"	"Olanzapine 20mg orodispersible tablets (Teva UK Ltd)"	"Olanzapine"	"20mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"74856"	5409511000001108	"03612020"	"Seroquel 200mg tablets (Waymade Healthcare Plc)"	"Quetiapine fumarate"	"200mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"74864"	19623311000001104	"78323020"	"Olanzapine 15mg orodispersible tablets (Teva UK Ltd)"	"Olanzapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"74902"	19610411000001104	"38394020"	"Zalasta 20mg orodispersible tablets (Consilient Health Ltd)"	"Olanzapine"	"20mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"75188"	142605001000027104	"66872020"	"Sodium valproate CR 300mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Sodium Valproate"	"300mg"	"Tablet"	""	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"75423"	NA	"23721021"	"Lamotrigine 50mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04020000/04080100"	"Drugs Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"75427"	NA	"47261020"	"Quetiapine 25mg tablets (Waymade Healthcare Plc)"	"Quetiapine fumarate"	"25mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"75605"	NA	"76530020"	"Amisulpride 200mg tablets (Teva UK Ltd)"	"Amisulpride"	"200mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Amisulpride"
"75649"	NA	"70702021"	"Brancico XL 300mg tablets (Zentiva)"	"Quetiapine fumarate"	"300mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"75650"	NA	"70703021"	"Brancico XL 200mg tablets (Zentiva)"	"Quetiapine fumarate"	"200mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"75919"	NA	"34103020"	"Promazine 12.5mg/5ml oral solution"	"Promazine hydrochloride"	"2.5mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Promazine"
"76160"	NA	"53468021"	"Lamotrigine 25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04020000/04080100"	"Drugs Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"76199"	NA	"70630021"	"Amisulpride 50mg tablets (Mylan)"	"Amisulpride"	"50mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Amisulpride"
"76308"	NA	"68981021"	"Olanzapine 15mg/5ml oral solution"	"Olanzapine"	"3mg/1ml"	"Oral solution"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"76428"	NA	"78593020"	"Risperidone 1mg tablets (Almus Pharmaceuticals Ltd)"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	2	"Risperidone"
"76438"	NA	"45157020"	"Sulpiride 400mg tablets (Medreich Plc)"	"Sulpiride"	"400mg"	"Tablet"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Sulpiride"
"76439"	NA	"68539020"	"Haloperidol 20mg tablets (Sandoz Ltd)"	"Haloperidol"	"20mg"	"Tablet"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Haloperidol"
"76477"	NA	"29091020"	"Depakote 125mg sprinkle gastro-resistant capsules (Imported (United States))"	"Valproate semisodium"	"125mg"	"Gastro-resistant capsule"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"76534"	NA	"82280021"	"Prochlorperazine 3mg buccal tablets (Medreich Plc)"	"Prochlorperazine maleate"	"3mg"	"Buccal tablet"	"Buccal"	"04065400"	"Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"76560"	NA	"03458020"	"Risperdal 2mg tablets (Lexon (UK) Ltd)"	"Risperidone"	"2mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"76664"	NA	"34107020"	"Promazine 25mg/5ml oral suspension"	"Promazine hydrochloride"	"5mg/1ml"	"Oral suspension"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Promazine"
"76775"	NA	"86799021"	"Olanzapine 2.5mg orodispersible tablets sugar free"	"Olanzapine"	"2.5mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"76933"	NA	"44476020"	"Risperdal Consta 25mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)"	"Risperidone"	"25mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"76959"	NA	"34113020"	"Promazine 6.25mg/5ml oral suspension"	"Promazine hydrochloride"	"1.25mg/1ml"	"Oral suspension"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Promazine"
"76964"	NA	"47365020"	"Sodium valproate 200mg gastro-resistant tablets (Waymade Healthcare Plc)"	"Sodium valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"77027"	NA	"47251020"	"Risperidone 2mg tablets (Waymade Healthcare Plc)"	"Risperidone"	"2mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"77072"	NA	"03445020"	"Risperidone 1mg tablets (Almus Pharmaceuticals Ltd)"	"Risperidone"	"1mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"77076"	NA	"10467020"	"Abilify 5mg tablets (Dowelhurst Ltd)"	"Aripiprazole"	"5mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Aripiprazole"
"77098"	NA	"20183021"	"Risperidone 2mg tablets (Dexcel-Pharma Ltd)"	"Risperidone"	"2mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"77187"	NA	"72583020"	"Lamotrigine 50mg tablets (Consilient Health Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"77195"	NA	"40660021"	"Sodium valproate 500mg modified-release tablets (DE Pharmaceuticals)"	"Sodium valproate"	"500mg"	"Modified-release tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"77215"	NA	"45218020"	"Quetiapine 300mg tablets (Accord Healthcare Ltd)"	"Quetiapine fumarate"	"300mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"77216"	NA	"45162020"	"Quetiapine 150mg tablets (Accord Healthcare Ltd)"	"Quetiapine fumarate"	"150mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"77272"	NA	"59955020"	"Sodium valproate 500mg Tablet (Sterwin Medicines)"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"77468"	NA	"14525021"	"Lamotrigine 25mg dispersible tablets sugar free (Waymade Healthcare Plc)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"77484"	NA	"41358020"	"Quetiapine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Quetiapine fumarate"	"25mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"77489"	NA	"58295020"	"Promazine 50mg/5ml Liquid (Genus Pharmaceuticals Ltd)"	"Promazine Hydrochloride"	"50mg/5ml"	"Liquid"	""	"04020100"	"Antipsychotic Products"	1	"Promazine"
"77513"	NA	"04804020"	"Sodium valproate 200mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Sodium valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"77514"	NA	"38533020"	"Sodium valproate 500mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"77571"	NA	"47312020"	"Prochlorperazine 5mg tablets (Waymade Healthcare Plc)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	1	"Prochlorperazine"
"77605"	NA	"93749020"	"Invega 9mg modified-release tablets (Janssen-Cilag Ltd)"	"Paliperidone"	"9mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Paliperidone"
"77606"	NA	"93745020"	"Invega 3mg modified-release tablets (Janssen-Cilag Ltd)"	"Paliperidone"	"3mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Paliperidone"
"77644"	NA	"69850021"	"Paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes"	"Paliperidone palmitate"	"200mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	2	"Paliperidone"
"77733"	NA	"70915021"	"Brancico XL 50mg tablets (Zentiva)"	"Quetiapine fumarate"	"50mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"77885"	NA	"86801021"	"Olanzapine 7.5mg orodispersible tablets sugar free"	"Olanzapine"	"7.5mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	2	"Olanzapine"
"77890"	NA	"75210021"	"Droperidol 2.5mg/1ml solution for injection ampoules (Panpharma UK Ltd)"	"Droperidol"	"2.5mg/1ml"	"Solution for injection"	"Intravenous"	"04065400"	"Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	1	"Droperidol"
"77988"	NA	"48010021"	"Haloperidol 1.5mg tablets (Crescent Pharma Ltd)"	"Haloperidol"	"1.5mg"	"Tablet"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Haloperidol"
"78008"	NA	"72813020"	"Lamotrigine 5mg dispersible tablets sugar free (Teva UK Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"78227"	NA	"44271021"	"Aripiprazole 5mg tablets (A A H Pharmaceuticals Ltd)"	"Aripiprazole"	"5mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Aripiprazole"
"78283"	NA	"78202020"	"Olanzapine 15mg orodispersible tablets sugar free (Actavis UK Ltd)"	"Olanzapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	2	"Olanzapine"
"78430"	NA	"57144020"	"Thioridazine 25mg Tablet (Actavis UK Ltd)"	"Thioridazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Products"	1	"Thioridazine"
"78449"	NA	"42174020"	"Risperidone 1mg/ml oral solution sugar free (Sandoz Ltd)"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"78519"	NA	"04943020"	"Lamictal 200mg tablets (Lexon (UK) Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"78578"	NA	"44275021"	"Aripiprazole 15mg tablets (A A H Pharmaceuticals Ltd)"	"Aripiprazole"	"15mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Aripiprazole"
"78609"	NA	"40632020"	"Quetiapine 300mg tablets (Teva UK Ltd)"	"Quetiapine fumarate"	"300mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"78616"	NA	"69849021"	"Trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)"	"Paliperidone palmitate"	"200mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	2	"Paliperidone"
"78727"	NA	"56316020"	"Sodium valproate 500mg gastro-resistant tablets (Mylan)"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"78807"	NA	"40164020"	"Olanzapine 5mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	2	"Olanzapine"
"78913"	NA	"88563021"	"Aripiprazole 1mg/ml oral solution sugar free"	""	""	""	""	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Aripiprazole"
"79024"	NA	"72713020"	"Promazine 50mg Tablet (Teva UK Ltd)"	"Promazine Hydrochloride"	"50mg"	"Tablet"	""	"04020100"	"Antipsychotic Products"	1	"Promazine"
"79313"	NA	"69848021"	"Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes"	""	""	""	""	"04020200"	"Antipsychotic Depot Injections"	2	"Paliperidone"
"79336"	NA	"03623020"	"Amisulpride 50mg tablets (Kent Pharmaceuticals Ltd)"	""	""	""	""	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Amisulpride"
"79430"	NA	"76793020"	"Risperidone 500microgram orodispersible tablets sugar free (Consilient Health Ltd)"	""	""	""	""	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"79436"	NA	"78193020"	"Olanzapine 20mg tablets (Actavis UK Ltd)"	""	""	""	""	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	2	"Olanzapine"
"79488"	NA	"03539020"	"Risperidone 500microgram tablets (Almus Pharmaceuticals Ltd)"	""	""	""	""	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"79527"	NA	"47244020"	"Promazine 25mg/5ml oral solution (Waymade Healthcare Plc)"	"Promazine hydrochloride"	"5mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Promazine"
"79560"	NA	"82603021"	"Cariprazine 4.5mg capsules"	"Cariprazine hydrochloride"	"4.5mg"	"Capsule"	"Oral"	"04020100"	"Antipsychotic Products"	2	"Cariprazine"
"79580"	NA	"04872020"	"Lamotrigine 100mg tablets (Sigma Pharmaceuticals Plc)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"79762"	NA	"20263020"	"Levomepromazine 2.5mg/5ml oral suspension"	"Levomepromazine maleate"	"500microgram/1ml"	"Oral suspension"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Levomepromazine"
"79893"	NA	"71082021"	"Quetiapine 25mg tablets (Mylan)"	"Quetiapine fumarate"	"25mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"79911"	NA	"03583020"	"Zalasta 2.5mg tablets (Consilient Health Ltd)"	"Olanzapine"	"2.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	2	"Olanzapine"
"80112"	NA	"82599021"	"Cariprazine 1.5mg capsules"	"Cariprazine hydrochloride"	"1.5mg"	"Capsule"	"Oral"	"04020100"	"Antipsychotic Products"	2	"Cariprazine"
"80182"	NA	"03582020"	"Olanzapine 2.5mg tablets (A A H Pharmaceuticals Ltd)"	"Olanzapine"	"2.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	2	"Olanzapine"
"80290"	NA	"04858020"	"Lamictal 50mg tablets (Mawdsley-Brooks & Company Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"80329"	NA	"89825021"	"Belvo 500mg gastro-resistant tablets (Consilient Health Ltd)"	"Valproate semisodium"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04020300"	"Products Used For Mania And Hypomania"	3	"Valproate"
"80341"	NA	"89612021"	"Belvo 250mg gastro-resistant tablets (Consilient Health Ltd)"	"Valproate semisodium"	"250mg"	"Gastro-resistant tablet"	"Oral"	"04020300"	"Products Used For Mania And Hypomania"	3	"Valproate"
"80350"	NA	"82601021"	"Cariprazine 3mg capsules"	"Cariprazine hydrochloride"	"3mg"	"Capsule"	"Oral"	"04020100"	"Antipsychotic Products"	2	"Cariprazine"
"80363"	NA	"70813020"	"Lamotrigine 200mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"80371"	NA	"70987020"	"Lamotrigine 100mg tablets (Mylan)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"80449"	NA	"03631020"	"Amisulpride 50mg tablets (Milpharm Ltd)"	"Amisulpride"	"50mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Amisulpride"
"80450"	NA	"75339020"	"Lamotrigine 25mg dispersible tablets sugar free (Mylan)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"80487"	NA	"57448021"	"Aripiprazole 5mg tablets (Sandoz Ltd)"	"Aripiprazole"	"5mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Aripiprazole"
"80551"	NA	"82682021"	"Prochlorperazine 5mg tablets (Medreich Plc)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	1	"Prochlorperazine"
"80573"	NA	"75336020"	"Lamotrigine 100mg dispersible tablets sugar free (Mylan)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"80597"	NA	"91237021"	"Syonell 250mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd)"	"Valproate semisodium"	"250mg"	"Gastro-resistant tablet"	"Oral"	"04020300/04070402"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	3	"Valproate"
"80601"	NA	"91355021"	"Syonell 500mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd)"	"Valproate semisodium"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04020300/04070402"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	3	"Valproate"
"80669"	NA	"70704021"	"Brancico XL 400mg tablets (Zentiva)"	"Quetiapine fumarate"	"400mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"80862"	NA	"35198020"	"Quetiapine 75mg/5ml oral suspension"	"Quetiapine fumarate"	"15mg/1ml"	"Oral suspension"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"80863"	NA	"33606020"	"Quetiapine 150mg/5ml oral solution"	"Quetiapine fumarate"	"30mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"80892"	NA	"44273021"	"Aripiprazole 10mg tablets (A A H Pharmaceuticals Ltd)"	"Aripiprazole"	"10mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Aripiprazole"
"80963"	NA	"75063020"	"Risperidone 1mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Risperidone"	"1mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"80973"	NA	"04807020"	"Sodium valproate 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"80978"	NA	"76956021"	"Aripiprazole 10mg tablets (HBS Healthcare Ltd)"	"Aripiprazole"	"10mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Aripiprazole"
"81144"	NA	"74935020"	"Risperidone 2mg tablets (A A H Pharmaceuticals Ltd)"	"Risperidone"	"2mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"81209"	NA	"79762021"	"Risperidone 500microgram tablets (Aurobindo Pharma Ltd)"	"Risperidone"	"500microgram"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"81221"	NA	"82605021"	"Cariprazine 6mg capsules"	""	""	""	""	"04020100"	"Antipsychotic Products"	2	"Cariprazine"
"81233"	NA	"89967021"	"Clozapine 12.5mg orodispersible tablets sugar free"	""	""	""	""	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Clozapine"
"81234"	NA	"79767021"	"Quetiapine 200mg tablets (Milpharm Ltd)"	"Quetiapine fumarate"	"200mg"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"81316"	NA	"04130020"	"Prochlorperazine 5mg tablets (Phoenix Healthcare Distribution Ltd)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	1	"Prochlorperazine"
"81345"	NA	"38966020"	"Olanzapine 5mg tablets (Generics (UK) Ltd)"	"Olanzapine"	"5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	2	"Olanzapine"
"81608"	NA	"56311020"	"Sodium valproate 500mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)"	"Sodium valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"81625"	NA	"53897020"	"Haloperidol 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Haloperidol"	"10mg"	"Tablet"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Haloperidol"
"81626"	NA	"54578020"	"Haloperidol 10mg tablets (Teva UK Ltd)"	"Haloperidol"	"10mg"	"Tablet"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Haloperidol"
"81634"	NA	"60374020"	"Haloperidol 5mg tablets (A A H Pharmaceuticals Ltd)"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Haloperidol"
"81640"	NA	"57145020"	"Thioridazine 50mg Tablet (Actavis UK Ltd)"	"Thioridazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Products"	1	"Thioridazine"
"81646"	NA	"79776021"	"Lamotrigine 25mg tablets (Aurobindo Pharma Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"81647"	NA	"79777021"	"Lamotrigine 200mg tablets (Aurobindo Pharma Ltd)"	"Lamotrigine"	"200mg"	"Tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"81649"	NA	"93888021"	"Risperidone 250microgram tablets"	"Risperidone"	"250microgram"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"81762"	NA	"30356020"	"Chlorpromazine 12.5mg/5ml oral suspension"	"Chlorpromazine hydrochloride"	"2.5mg/1ml"	"Oral suspension"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Chlorpromazine"
"81784"	NA	"48013021"	"Haloperidol 500microgram tablets (Crescent Pharma Ltd)"	"Haloperidol"	"500microgram"	"Tablet"	"Oral"	"04020101"	"First-Generation Antipsychotic Drugs"	1	"Haloperidol"
"81870"	NA	"89970021"	"Clozapine 100mg orodispersible tablets sugar free"	"Clozapine"	"100mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Clozapine"
"81871"	NA	"89974021"	"Clozapine 25mg orodispersible tablets sugar free"	"Clozapine"	"25mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Clozapine"
"81880"	NA	"79774021"	"Lamotrigine 50mg tablets (Aurobindo Pharma Ltd)"	"Lamotrigine"	"50mg"	"Tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
"81975"	NA	"87728021"	"Risperidone 500microgram tablets (Relonchem Ltd)"	"Risperidone"	"500microgram"	"Tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Risperidone"
"82074"	NA	"70921021"	"Brancico XL 150mg tablets (Zentiva)"	"Quetiapine fumarate"	"150mg"	"Modified-release tablet"	"Oral"	"04020102"	"Second-Generation Antipsychotic Drugs"	2	"Quetiapine"
"82262"	NA	"04899020"	"Lamotrigine 5mg dispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"04020000/04080100"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	3	"Lamotrigine"
